npi,name,n_lines,mean_medicare_mult,median_medicare_mult,win_rate
1689062440,"EMERGENCY MEDICINE SPECIALISTS, INC.",3,5.62,5.5,100.0
1043942089,RICE EMERGENCY ROOM LLC,13,5.61,3.91,92.3
1245361963,Spine & Trauma Institute,1,5.6,5.6,100.0
1467998633,"DJNR, PLLC",2,5.59,4.59,0.0
1578181889,EMER North Fort Worth Beach Physicians P,22,5.59,4.61,95.5
1386229532,"WRFER Cooper, LLC",65,5.58,4.45,93.8
1245725191,"Catherine Elias MS, PA-C",1,5.56,5.56,100.0
1982208443,"Absolute IOM, LLC",1,5.54,5.54,100.0
1154055234,EMER Addison Physicians PLLC,20,5.51,4.06,95.0
1386009462,FOREFRONT PHYSICIANS PLLC,4,5.47,3.18,50.0
1669244745,"SYDNEY REGINA, PA-C",5,5.47,4.44,100.0
1730658980,EMCC Azle Physicians PLLC,37,5.46,4.95,83.8
1184391153,"APRIL FENSTER, PA-C",1,5.46,5.46,100.0
1821779695,IES SOUTH CAROLINA LLC,19,5.42,5.3,89.5
1356873889,William Gulledge Jr,8,5.41,3.49,87.5
1720643653,EMCC Weatherford ER Physicians PLLC,10,5.4,4.07,90.0
1194198101,Surepoint Emergency Physicians Denton PL,15,5.39,4.61,93.3
1619563277,"WRFER Denton, LLC",123,5.38,4.3,83.7
1114267929,Interventional Neuro Associates,1,5.38,5.38,100.0
1841778040,International Spine Institute,6,5.38,4.21,100.0
1235747304,EMER GRAND PRAIRIE,7,5.37,5.0,100.0
1548773203,GRANITE ANESTHESIA,6,5.36,3.86,83.3
1174014385,"TIMOTHY A LOPEZ, PA-C",1,5.36,5.36,100.0
1205223807,"DENNIS MURPHY, MD",2,5.31,4.9,100.0
1356929632,Northeast Surgery Associates,2,5.3,4.98,100.0
1184910135,"DINESH RAMANATHAN, MD",1,5.29,5.29,0.0
1992735088,Mercy Gilbert Medical Center,1,5.27,5.27,0.0
1013499383,USA EMERGENCY CENTERS BASTROP LLC,13,5.22,3.81,76.9
1891950788,"REZA KARIMI, DR",1,5.19,5.19,100.0
1679085401,"Georgetown Emergency Physicians, PLLC",3,5.18,6.1,66.7
1558405662,"Michaela Lomelo, PA",2,5.18,3.32,100.0
1467575472,David Chang MD,12,5.18,4.38,83.3
1326580960,SJMK EMERGENCY ROOM LLC,29,5.18,4.33,89.7
1114489390,TCERH PHYSICIANS,17,5.17,3.61,70.6
1801364450,SUREPOINT EMERGENCY CENTER AZLE,13,5.13,4.12,69.2
1407508021,PRO CARE FLORESVILLE LLC,12,5.13,3.43,100.0
1043740608,"Core Neurodiagnostics, LLC",1,5.12,5.12,100.0
1922677178,"IYENGAR MONITORING, PLLC",5,5.11,3.9,80.0
1427088590,"IRA GOLDSTEIN, MD",2,5.1,4.32,100.0
1982675955,St. Francis,1,5.08,5.08,100.0
1669997359,"One Oak Medical Group, LLC",5,5.06,5.75,100.0
1124603386,"Windview First, PLLC",85,5.06,4.37,91.8
1821565961,OKLAHOMA ER HOSPITAL,7,5.05,4.2,100.0
1275193138,EMCC PI ER Professional PLLC,18,5.05,3.59,83.3
1407053036,"Vanessa Gibson, MD",19,5.04,4.49,73.7
1659744662,"ER24 Denton, LLC",2,5.04,3.46,50.0
1871863837,"Progressive Spine and Orthopaedics, LLC",3,5.04,3.76,100.0
1053187088,"Lora Liu, MD",1,5.0,5.0,0.0
1508863663,Paul Vessa,2,4.99,4.56,100.0
1083444780,CARE PLUS MONTROSE ER LLC,1,4.97,4.97,100.0
1235733833,"NEUROSPINE PLUS, LLC",2,4.96,3.02,50.0
1679225288,RO CARE SCHERTZ LLC,9,4.95,4.09,77.8
1134783913,Village Emergency Room Llc,28,4.95,5.13,96.4
1942676838,Victoria ED,52,4.95,4.24,55.8
1437719309,Ortho Nerve,4,4.95,4.81,50.0
1922563121,"THE PAIN, SPINE AND SPORTS INSTITUTE LLC",1,4.93,4.93,100.0
1275110108,"Deerfield Plains, LLC",89,4.9,4.22,91.0
1295490316,"Academy Orthopaedic Group, LLC",2,4.9,4.06,0.0
1972504587,"MARCEL SCHEINMAN, MD",14,4.88,3.9,92.9
1710676572,"STEPHANIE KAYE, RNFA",2,4.86,3.23,100.0
1619954435,"GREGORY BREVETTI, DR",3,4.86,5.75,100.0
1538645692,"TWL NEUROMONITORING, PLLC",3,4.86,5.25,66.7
1053081315,"TOTALCARE, ER",31,4.85,4.12,71.0
1063033421,Dr. Lawrence Stankovits,50,4.84,4.69,96.0
1326508565,Jason Meldau MD,1,4.83,4.83,0.0
